home_team,home_score,away_team,away_score
PoNY,8,Madcow,13
Doublewide,13,Boost FC,7
GOAT,9,PoNY,11
Ring of Fire,13,Madcow,8
Doublewide,13,Madcow,8
GOAT,12,Ring of Fire,10
PoNY,13,Boost FC,5
Chicago Machine,13,Sub Zero,9
Chain Lightning,10,Truck Stop,11
Florida United,13,HIGH FIVE,7
Chicago Machine,7,Chain Lightning,13
Sub Zero,8,Florida United,11
Truck Stop,9,HIGH FIVE,11
Chicago Machine,13,Florida United,5
Chain Lightning,12,HIGH FIVE,11
Sub Zero,7,Truck Stop,13
Chicago Machine,13,HIGH FIVE,7
Chain Lightning,12,Sub Zero,11
Florida United,11,Truck Stop,12
Chicago Machine,12,Truck Stop,11
Chain Lightning,13,Florida United,7
Sub Zero,10,HIGH FIVE,12
Chicago Machine,13,Chain Lightning,8
PoNY,6,Chicago Machine,13
Chain Lightning,13,Ring of Fire,9
PoNY,9,Ring of Fire,12
Doublewide,14,GOAT,13
Doublewide,12,Florida United,8
GOAT,12,Truck Stop,10
Florida United,12,Truck Stop,11
Sub Zero,11,HIGH FIVE,9
Madcow,8,Sub Zero,13
Boost FC,8,HIGH FIVE,10
Madcow,10,Boost FC,11
Oaks,10,Beachfront Property,13
Voodoo,7,Sprawl,13
Streetgang,13,Choice City Hops,3
Streetgang,12,Sprawl,11
Choice City Hops,8,Beachfront Property,13
Voodoo,13,Oaks,7
Streetgang,13,Oaks,3
Voodoo,13,Beachfront Property,9
Sprawl,13,Choice City Hops,6
Oaks,13,Choice City Hops,7
Streetgang,13,Voodoo,10
Sprawl,6,Beachfront Property,13
Voodoo,13,Choice City Hops,5
Sprawl,13,Oaks,7
Streetgang,13,Beachfront Property,8
PowderHogs,13,Air Show,6
Inception,13,Renegade,8
Madison Club,13,The Ghosts,1
Madison Club,13,Renegade,4
The Ghosts,13,Air Show,5
Inception,12,PowderHogs,10
PowderHogs,11,The Ghosts,13
Madison Club,13,PowderHogs,6
Inception,13,Air Show,4
Renegade,15,The Ghosts,14
Madison Club,15,Inception,13
Renegade,13,Air Show,5
Inception,13,The Ghosts,8
Renegade,5,PowderHogs,13
Madison Club,13,Air Show,4
Sprawl,12,Madison Club,15
Streetgang,12,Sprawl,15
Beachfront Property,10,Madison Club,15
Streetgang,13,The Ghosts,3
Sprawl,13,Inception,10
PowderHogs,8,Beachfront Property,13
Voodoo,8,Madison Club,13
Oaks,5,Renegade,13
Oaks,15,Air Show,3
Choice City Hops,12,Renegade,14
Air Show,8,Choice City Hops,15
The Ghosts,5,Inception,13
PowderHogs,10,Voodoo,13
Prairie Fire,15,Kentucky Flying Circus,7
Six Pack,17,Ironmen,16
Prairie Fire,15,Ironmen,2
Six Pack,17,Kentucky Flying Circus,16
Prairie Fire,15,Six Pack,8
Kentucky Flying Circus,9,Ironmen,15
PLEX,15,Jockamo,11
Freaks Uv Nature,15,Cash Crop,12
PLEX,15,Cash Crop,13
Freaks Uv Nature,15,Jockamo,13
Jockamo,13,Cash Crop,15
PLEX,15,Freaks Uv Nature,8
Space City Ignite,15,CaSTLe,7
Southern Hospitality,15,Strong Hand,8
Space City Ignite,15,Strong Hand,7
Southern Hospitality,15,CaSTLe,7
