home_team,home_score,away_team,away_score,tournament
Southern Hospitality,13,John Doe,9,Chesapeake Open
Bruises,12,VAlhalla,9,Chesapeake Open
Philadelphia Club,13,RUNTIME,2,Chesapeake Open
Youngbloods,13,Colorblind,7,Chesapeake Open
Philadelphia Club,13,Colorblind,4,Chesapeake Open
Youngbloods,13,RUNTIME,8,Chesapeake Open
Philadelphia Club,12,Youngbloods,9,Chesapeake Open
RUNTIME,9,Colorblind,12,Chesapeake Open
Medicine Men,10,Supernova,12,Chesapeake Open
Smokestack,8,CityWide Special,13,Chesapeake Open
Smokestack,13,Supernova,10,Chesapeake Open
Medicine Men,11,CityWide Special,13,Chesapeake Open
Medicine Men,7,Smokestack,13,Chesapeake Open
Supernova,8,CityWide Special,10,Chesapeake Open
BroCats,13,Town Hall Stars,12,Chesapeake Open
Cash Crop,13,Swell,4,Chesapeake Open
BroCats,13,Swell,6,Chesapeake Open
Cash Crop,13,Town Hall Stars,8,Chesapeake Open
BroCats,13,Cash Crop,11,Chesapeake Open
Town Hall Stars,13,Swell,4,Chesapeake Open
Southern Hospitality,13,CityWide Special,10,Chesapeake Open
Philadelphia Club,13,BroCats,3,Chesapeake Open
VAlhalla,7,Swell,13,Chesapeake Open
RUNTIME,3,Medicine Men,13,Chesapeake Open
Southern Hospitality,13,Philadelphia Club,10,Chesapeake Open
Southern Hospitality,12,BroCats,9,Chesapeake Open
Philadelphia Club,13,Town Hall Stars,6,Chesapeake Open
Southern Hospitality,13,Youngbloods,7,Chesapeake Open
BroCats,11,Smokestack,9,Chesapeake Open
Philadelphia Club,13,Cash Crop,8,Chesapeake Open
CityWide Special,9,Town Hall Stars,13,Chesapeake Open
Youngbloods,12,Supernova,11,Chesapeake Open
Smokestack,13,Colorblind,6,Chesapeake Open
Cash Crop,13,Bruises,10,Chesapeake Open
John Doe,10,Town Hall Stars,13,Chesapeake Open
Smokestack,12,Cash Crop,13,Chesapeake Open
Youngbloods,12,Smokestack,13,Chesapeake Open
Cash Crop,13,CityWide Special,8,Chesapeake Open
Supernova,6,Medicine Men,13,Chesapeake Open
Supernova,12,Colorblind,8,Chesapeake Open
Bruises,7,Medicine Men,12,Chesapeake Open
Colorblind,13,Swell,8,Chesapeake Open
Bruises,15,RUNTIME,11,Chesapeake Open
John Doe,6,Medicine Men,11,Chesapeake Open
Supernova,13,VAlhalla,2,Chesapeake Open
Swell,6,John Doe,9,Chesapeake Open
Swell,13,VAlhalla,9,Chesapeake Open
RUNTIME,10,John Doe,12,Chesapeake Open
Air Show,6,Sundowners,12,Angel City Shootout
Gridlock,8,Honduras,13,Angel City Shootout
Air Show,12,Honduras,8,Angel City Shootout
Gridlock,8,Sundowners,11,Angel City Shootout
Air Show,13,Gridlock,7,Angel City Shootout
Sundowners,10,Honduras,12,Angel City Shootout
Sundowners,11,Air Show,8,Angel City Shootout
Ring of Fire,9,Rhino,14,Colorado Cup (TCT Elite-Select Challenge)
Boost FC,13,Dire Wolf,10,Colorado Cup (TCT Elite-Select Challenge)
Ring of Fire,13,Boost FC,7,Colorado Cup (TCT Elite-Select Challenge)
Rhino,12,Dire Wolf,9,Colorado Cup (TCT Elite-Select Challenge)
Ring of Fire,13,Dire Wolf,9,Colorado Cup (TCT Elite-Select Challenge)
Boost FC,10,Rhino,12,Colorado Cup (TCT Elite-Select Challenge)
PoNY,13,Madison Club,11,Colorado Cup (TCT Elite-Select Challenge)
Madcow,13,Omen,12,Colorado Cup (TCT Elite-Select Challenge)
PoNY,13,Madcow,9,Colorado Cup (TCT Elite-Select Challenge)
Madison Club,12,Omen,10,Colorado Cup (TCT Elite-Select Challenge)
PoNY,13,Omen,6,Colorado Cup (TCT Elite-Select Challenge)
Madcow,9,Madison Club,13,Colorado Cup (TCT Elite-Select Challenge)
Florida United,10,Streetgang,12,Colorado Cup (TCT Elite-Select Challenge)
Sub Zero,13,Garuda,8,Colorado Cup (TCT Elite-Select Challenge)
Florida United,13,Sub Zero,10,Colorado Cup (TCT Elite-Select Challenge)
Streetgang,12,Garuda,7,Colorado Cup (TCT Elite-Select Challenge)
Florida United,12,Garuda,10,Colorado Cup (TCT Elite-Select Challenge)
Sub Zero,13,Streetgang,6,Colorado Cup (TCT Elite-Select Challenge)
Truck Stop,10,Condors,13,Colorado Cup (TCT Elite-Select Challenge)
HIGH FIVE,13,Inception,9,Colorado Cup (TCT Elite-Select Challenge)
Truck Stop,14,HIGH FIVE,12,Colorado Cup (TCT Elite-Select Challenge)
Condors,13,Inception,11,Colorado Cup (TCT Elite-Select Challenge)
Truck Stop,12,Inception,11,Colorado Cup (TCT Elite-Select Challenge)
HIGH FIVE,11,Condors,12,Colorado Cup (TCT Elite-Select Challenge)
Inception,10,Dire Wolf,13,Colorado Cup (TCT Elite-Select Challenge)
Garuda,13,Omen,9,Colorado Cup (TCT Elite-Select Challenge)
Inception,14,Omen,13,Colorado Cup (TCT Elite-Select Challenge)
Garuda,9,Dire Wolf,10,Colorado Cup (TCT Elite-Select Challenge)
Inception,10,Garuda,13,Colorado Cup (TCT Elite-Select Challenge)
Omen,7,Dire Wolf,11,Colorado Cup (TCT Elite-Select Challenge)
Rhino,13,Ring of Fire,15,Colorado Cup (TCT Elite-Select Challenge)
Rhino,13,Condors,6,Colorado Cup (TCT Elite-Select Challenge)
Sub Zero,7,Ring of Fire,13,Colorado Cup (TCT Elite-Select Challenge)
Rhino,13,Madison Club,10,Colorado Cup (TCT Elite-Select Challenge)
Condors,12,Madcow,9,Colorado Cup (TCT Elite-Select Challenge)
Sub Zero,14,Truck Stop,13,Colorado Cup (TCT Elite-Select Challenge)
PoNY,12,Ring of Fire,13,Colorado Cup (TCT Elite-Select Challenge)
Madison Club,11,Streetgang,10,Colorado Cup (TCT Elite-Select Challenge)
Florida United,11,Madcow,13,Colorado Cup (TCT Elite-Select Challenge)
Truck Stop,12,Boost FC,11,Colorado Cup (TCT Elite-Select Challenge)
Ring of Fire,13,HIGH FIVE,7,Colorado Cup (TCT Elite-Select Challenge)
Condors,13,Sub Zero,11,Colorado Cup (TCT Elite-Select Challenge)
Madison Club,10,PoNY,12,Colorado Cup (TCT Elite-Select Challenge)
Madison Club,13,Madcow,9,Colorado Cup (TCT Elite-Select Challenge)
Truck Stop,10,PoNY,11,Colorado Cup (TCT Elite-Select Challenge)
Madcow,9,Truck Stop,13,Colorado Cup (TCT Elite-Select Challenge)
Streetgang,10,Boost FC,13,Colorado Cup (TCT Elite-Select Challenge)
Streetgang,11,Florida United,9,Colorado Cup (TCT Elite-Select Challenge)
Boost FC,13,HIGH FIVE,8,Colorado Cup (TCT Elite-Select Challenge)
Florida United,13,HIGH FIVE,8,Colorado Cup (TCT Elite-Select Challenge)
Temper,17,Breaker's Mark,7,Kentucky Flying Circus Presents: The Three Ring Rally
Mistress,14,Los Heros,17,Kentucky Flying Circus Presents: The Three Ring Rally
Temper,17,Mistress,2,Kentucky Flying Circus Presents: The Three Ring Rally
Breaker's Mark,17,Los Heros,8,Kentucky Flying Circus Presents: The Three Ring Rally
Temper,17,Los Heros,5,Kentucky Flying Circus Presents: The Three Ring Rally
Mistress,13,Breaker's Mark,17,Kentucky Flying Circus Presents: The Three Ring Rally
Kentucky Flying Circus,17,Enigma,6,Kentucky Flying Circus Presents: The Three Ring Rally
CaSTLe,15,Pocket City Approach,16,Kentucky Flying Circus Presents: The Three Ring Rally
Kentucky Flying Circus,17,CaSTLe,11,Kentucky Flying Circus Presents: The Three Ring Rally
Enigma,17,Pocket City Approach,11,Kentucky Flying Circus Presents: The Three Ring Rally
Kentucky Flying Circus,15,Pocket City Approach,7,Kentucky Flying Circus Presents: The Three Ring Rally
CaSTLe,15,Enigma,17,Kentucky Flying Circus Presents: The Three Ring Rally
Temper,15,Kentucky Flying Circus,8,Kentucky Flying Circus Presents: The Three Ring Rally
Temper,15,Enigma,4,Kentucky Flying Circus Presents: The Three Ring Rally
Pocket City Approach,7,Kentucky Flying Circus,15,Kentucky Flying Circus Presents: The Three Ring Rally
Temper,15,CaSTLe,4,Kentucky Flying Circus Presents: The Three Ring Rally
Enigma,15,Los Heros,10,Kentucky Flying Circus Presents: The Three Ring Rally
Breaker's Mark,11,Pocket City Approach,15,Kentucky Flying Circus Presents: The Three Ring Rally
Kentucky Flying Circus,15,Mistress,6,Kentucky Flying Circus Presents: The Three Ring Rally
Breaker's Mark,W,CaSTLe,F,Kentucky Flying Circus Presents: The Three Ring Rally
Mistress,10,Breaker's Mark,13,Kentucky Flying Circus Presents: The Three Ring Rally
Los Heros,8,CaSTLe,15,Kentucky Flying Circus Presents: The Three Ring Rally
Enigma,15,Pocket City Approach,9,Kentucky Flying Circus Presents: The Three Ring Rally
Los Heros,11,Mistress,8,Kentucky Flying Circus Presents: The Three Ring Rally
Team Rocket,6,Train Wreck,13,PB&J
Presidio de Bexar,13,Hypnotoad,4,PB&J
H.I.P,13,Team Rocket,3,PB&J
Presidio de Bexar,7,Train Wreck,13,PB&J
H.I.P,13,Hypnotoad,4,PB&J
Presidio de Bexar,13,Team Rocket,4,PB&J
H.I.P,13,Presidio de Bexar,9,PB&J
Hypnotoad,6,Train Wreck,13,PB&J
H.I.P,13,Train Wreck,3,PB&J
Hypnotoad,13,Team Rocket,6,PB&J
Riverside Ultimate,13,Riverside Messengers,3,PB&J
Space City Eclipse,13,Zero Gravity,5,PB&J
Riverside Ultimate,10,Space City Eclipse,11,PB&J
Zero Gravity,13,Riverside Messengers,5,PB&J
Riverside Ultimate,13,Zero Gravity,6,PB&J
Space City Eclipse,13,Riverside Messengers,10,PB&J
Space City Ignite,W,Huck It Trebek Tribute Band,L,PB&J
Rawhide,13,Space City Fuel,7,PB&J
Space City Ignite,13,Rawhide,4,PB&J
Space City Fuel,10,Huck It Trebek Tribute Band,11,PB&J
Space City Ignite,13,Space City Fuel,7,PB&J
Rawhide,13,Huck It Trebek Tribute Band,4,PB&J
Riverside Ultimate,13,Space City Fuel,6,PB&J
Space City Eclipse,13,Huck It Trebek Tribute Band,6,PB&J
Space City Ignite,13,Zero Gravity,7,PB&J
Rawhide,13,Riverside Messengers,7,PB&J
H.I.P,11,Space City Ignite,9,PB&J
H.I.P,13,Riverside Ultimate,6,PB&J
Space City Ignite,W,Presidio de Bexar,L,PB&J
Zero Gravity,1,H.I.P,13,PB&J
Rawhide,3,Riverside Ultimate,13,PB&J
Train Wreck,5,Space City Ignite,13,PB&J
Presidio de Bexar,11,Space City Eclipse,10,PB&J
Zero Gravity,11,Huck It Trebek Tribute Band,6,PB&J
Space City Fuel,W,Huck It Trebek Tribute Band,F,PB&J
Space City Fuel,13,Hypnotoad,7,PB&J
Space City Fuel,13,Team Rocket,5,PB&J
Hypnotoad,W,Riverside Messengers,L,PB&J
Zero Gravity,10,Train Wreck,13,PB&J
Zero Gravity,11,Rawhide,10,PB&J
Train Wreck,9,Space City Eclipse,8,PB&J
Riverside Ultimate,13,Presidio de Bexar,9,PB&J
Team Rocket,11,Riverside Messengers,8,PB&J
Garden State Ultimate,13,Drago,7,8th Annual Nucci's Cup
Watchdogs,6,Colorblind,13,8th Annual Nucci's Cup
Lone Wolves,13,Devyl U19B,3,8th Annual Nucci's Cup
Drago,13,Devyl U19B,5,8th Annual Nucci's Cup
Garden State Ultimate,13,Colorblind,4,8th Annual Nucci's Cup
Watchdogs,10,Lone Wolves,13,8th Annual Nucci's Cup
Garden State Ultimate,13,Lone Wolves,3,8th Annual Nucci's Cup
